Name,Date,Duration,Location,Tags,Note,Moveable,RRULE:FREQ,RRULE:COUNT,Participants
Team brainstorming session,2023-08-05-14-00,2-00,Meeting room,work collaboration,Generate innovative ideas,true,WEEKLY,4,John Sarah Alex Emma
Client meeting,2023-08-08-11-30,1-30,Client's office,business meeting,Discuss project progress,true,DAILY,3,John Sarah Alex
Family picnic,2023-08-12-10-00,4-00,Local park,family outdoor,Enjoy outdoor activities and food,true,N/A,N/A,Family members
Seminar on industry trends,2023-08-15-09-00,5-00,Conference center,seminar education,Learn about latest industry trends,false,N/A,N/A,Attendees
Project status update,2023-08-18-15-00,1-00,Conference call,business meeting,Share project status with stakeholders,true,WEEKLY,5,John Sarah Alex Emma David
Team lunch,2023-08-22-12-30,1-30,Restaurant,team bonding,Strengthen team relationships over lunch,false,N/A,N/A,Team members
Product testing,2023-08-25-10-00,4-00,Lab,product testing,Conduct testing on new product features,true,N/A,N/A,Testing team
Training session,2023-08-2809-30,3-00,Training center,workshop learning,Attend training session on new technologies,false,DAILY,5,John Sarah Alex Emma David
Board meeting,2023-09-01-14-00,2-00,Company boardroom,board meeting,Discuss company strategies and decisions,true,N/A,N/A,Board members
Team outing,2023-09-05-08-00,6-00,Amusement park,team-building fun,Enjoy rides and games as a team,false,N/A,N/A,All team members
Business dinner,2023-09-08-19-00,2-30,Fine dining restaurant,Network with clients and discuss opportunities,true,N/A,N/A,Clients
Conference attendance,2023-09-12-09-00,3-00,Convention center,conference networking,Attend industry conference and sessions,false,N/A,N/A,Attendees
Workshop on leadership skills,2023-09-15-10-00,4-00,Training center,workshop learning,Develop leadership skills through interactive sessions,false,WEEKLY,4,John Sarah Alex Emma
Product demo,2023-09-18-14-00,1-30,Client's office,business meeting,Demonstrate product features and functionality,true,DAILY,3,John Sarah Alex
Team building activity,2023-09-22-13-00,4-00,Outdoor adventure park,team-building fun,Participate in team-building challenges and games,true,N/A,N/A,All team members
Company-wide training,2023-09-25-09-30,6-00,Company premises,workshop learning,Attend training sessions on various topics,false,N/A,N/A,Employees
